model,version,model_type,FertilityInput,MMLU,number_new_tokens
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 01:40:27,BASELINE,2.4748432934166047,0.23251673550776242,1000
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 01:40:27,INITIALIZED_NO_TRAINING,1.9365427147195324,0.23251673550776242,1000
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 01:40:27,INITIALIZED_WITH_TRAINING,1.9365427147195324,0.23251673550776242,1000
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 03:04:02,BASELINE,2.4748432934166047,0.23251673550776242,5000
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 03:04:02,INITIALIZED_NO_TRAINING,1.7589961611184324,0.23251673550776242,5000
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 03:04:02,INITIALIZED_WITH_TRAINING,1.7589961611184324,0.23251673550776242,5000
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 04:35:42,BASELINE,2.4748432934166047,0.23251673550776242,7500
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 04:35:42,INITIALIZED_NO_TRAINING,1.7549326763307167,0.23251673550776242,7500
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 04:35:42,INITIALIZED_WITH_TRAINING,1.7549326763307167,0.23251673550776242,7500
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 05:33:51,BASELINE,1.9332034607230848,0.5896595926506196,1000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 05:33:51,INITIALIZED_NO_TRAINING,1.7634721824328197,0.5896595926506196,1000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 05:33:51,INITIALIZED_WITH_TRAINING,1.7634721824328197,0.5896595926506196,1000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 07:20:38,BASELINE,1.9332034607230848,0.5896595926506196,5000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 07:20:38,INITIALIZED_NO_TRAINING,1.6648461582535954,0.5896595926506196,5000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 07:20:38,INITIALIZED_WITH_TRAINING,1.6648461582535954,0.5896595926506196,5000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 09:20:28,BASELINE,1.9332034607230848,0.5896595926506196,7500
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 09:20:28,INITIALIZED_NO_TRAINING,1.666995931931473,0.5896595926506196,7500
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 09:20:28,INITIALIZED_WITH_TRAINING,1.666995931931473,0.5896595926506196,7500
