model,version,model_type,FertilityInput,MMLU,number_new_tokens,FertilityOutput,SupergluePTPT,CalamePT
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 01:40:27,BASELINE,2.4748432934166047,0.23251673550776242,1000,,,
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 01:40:27,INITIALIZED_NO_TRAINING,1.9365427147195324,0.23251673550776242,1000,,,
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 01:40:27,INITIALIZED_WITH_TRAINING,1.9365427147195324,0.23251673550776242,1000,,,
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 03:04:02,BASELINE,2.4748432934166047,0.23251673550776242,5000,,,
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 03:04:02,INITIALIZED_NO_TRAINING,1.7589961611184324,0.23251673550776242,5000,,,
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 03:04:02,INITIALIZED_WITH_TRAINING,1.7589961611184324,0.23251673550776242,5000,,,
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 04:35:42,BASELINE,2.4748432934166047,0.23251673550776242,7500,,,
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 04:35:42,INITIALIZED_NO_TRAINING,1.7549326763307167,0.23251673550776242,7500,,,
HuggingFaceTB/SmolLM2-135M,results@2025-08-12 04:35:42,INITIALIZED_WITH_TRAINING,1.7549326763307167,0.23251673550776242,7500,,,
HuggingFaceTB/SmolLM3-3B,results@2025-08-12 18:49:42,BASELINE,1.9400171890219446,0.5666571713431136,1000,2.0012782997073773,0.49686363066114664,0.5852601156069365
HuggingFaceTB/SmolLM3-3B,results@2025-08-12 18:49:42,INITIALIZED_NO_TRAINING,1.765133787887469,0.5666571713431136,1000,2.1101669974469948,0.49686363066114664,0.5852601156069365
HuggingFaceTB/SmolLM3-3B,results@2025-08-12 18:49:42,INITIALIZED_WITH_TRAINING,1.765133787887469,0.5666571713431136,1000,2.106962883522944,0.49686363066114664,0.5852601156069365
HuggingFaceTB/SmolLM3-3B,results@2025-08-13 00:42:32,INITIALIZED_NO_TRAINING,1.652690081934338,0.5666571713431136,5000,2.0495876729430678,0.49686363066114664,0.5852601156069365
HuggingFaceTB/SmolLM3-3B,results@2025-08-13 00:42:32,INITIALIZED_WITH_TRAINING,1.652690081934338,0.5666571713431136,5000,2.0366968271070163,0.49686363066114664,0.5852601156069365
HuggingFaceTB/SmolLM3-3B,results@2025-08-13 06:43:44,INITIALIZED_NO_TRAINING,1.6540789549074657,0.5666571713431136,7500,2.015735879200165,0.49686363066114664,0.5852601156069365
HuggingFaceTB/SmolLM3-3B,results@2025-08-13 06:43:44,INITIALIZED_WITH_TRAINING,1.6540789549074657,0.5666571713431136,7500,2.0332219130076274,0.49686363066114664,0.5852601156069365
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 05:33:51,BASELINE,1.9332034607230848,0.5896595926506196,1000,,,
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 05:33:51,INITIALIZED_NO_TRAINING,1.7634721824328197,0.5896595926506196,1000,,,
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 05:33:51,INITIALIZED_WITH_TRAINING,1.7634721824328197,0.5896595926506196,1000,,,
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 07:20:38,BASELINE,1.9332034607230848,0.5896595926506196,5000,,,
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 07:20:38,INITIALIZED_NO_TRAINING,1.6648461582535954,0.5896595926506196,5000,,,
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 07:20:38,INITIALIZED_WITH_TRAINING,1.6648461582535954,0.5896595926506196,5000,,,
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 09:20:28,BASELINE,1.9332034607230848,0.5896595926506196,7500,,,
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 09:20:28,INITIALIZED_NO_TRAINING,1.666995931931473,0.5896595926506196,7500,,,
Qwen/Qwen2.5-1.5B-Instruct,results@2025-08-12 09:20:28,INITIALIZED_WITH_TRAINING,1.666995931931473,0.5896595926506196,7500,,,
