model,version,model_type,FertilityInput,Perplexity,FertilityOutput,CalamePT,SupergluePTPT,number_new_tokens
HuggingFaceTB/SmolLM2-135M,results@2025-07-26 10:08:44,BASELINE,2.8192129838155715,283.38605024337767,3.074218970879276,0.13535645472061658,0.014678208505833647,1000
HuggingFaceTB/SmolLM2-135M,results@2025-07-26 10:08:44,INITIALIZED_NO_TRAINING,2.4476234888721105,1134.2960266113282,3.2442602933512026,0.13535645472061658,0.014678208505833647,1000
HuggingFaceTB/SmolLM2-135M,results@2025-07-26 10:08:44,INITIALIZED_WITH_TRAINING,2.4476234888721105,1200.9056139564514,3.295875958603231,0.13535645472061658,0.014678208505833647,1000
HuggingFaceTB/SmolLM2-135M,results@2025-07-26 12:58:39,BASELINE,2.8192129838155715,283.38605024337767,3.074218970879276,0.13535645472061658,0.014678208505833647,5000
HuggingFaceTB/SmolLM2-135M,results@2025-07-26 12:58:39,INITIALIZED_NO_TRAINING,2.2626857259662354,1965.7165289497375,2.758511842563567,0.13535645472061658,0.015054572826496047,5000
HuggingFaceTB/SmolLM2-135M,results@2025-07-26 12:58:39,INITIALIZED_WITH_TRAINING,2.2626857259662354,2086.669627952576,2.792972831765935,0.13535645472061658,0.015054572826496047,5000
HuggingFaceTB/SmolLM2-135M,results@2025-07-26 15:45:46,BASELINE,2.8192129838155715,283.38605024337767,3.074218970879276,0.13535645472061658,0.014678208505833647,7500
HuggingFaceTB/SmolLM2-135M,results@2025-07-26 15:45:46,INITIALIZED_NO_TRAINING,2.250443426548504,2707.2382502555847,2.825157743200196,0.13535645472061658,0.015054572826496047,7500
HuggingFaceTB/SmolLM2-135M,results@2025-07-26 15:45:46,INITIALIZED_WITH_TRAINING,2.250443426548504,2707.7220050430296,2.8554429061504534,0.13535645472061658,0.015054572826496047,7500
Qwen/Qwen2.5-1.5B-Instruct,results@2025-07-26 16:41:14,BASELINE,2.0592346780429955,1900.2253355884552,1.7390100719842096,0.49614643545279385,0.40239618617488393,1000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-07-26 16:41:14,INITIALIZED_NO_TRAINING,1.961566469000636,53328.023920040134,2.194537160658656,0.49614643545279385,0.39856981558148286,1000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-07-26 16:41:14,INITIALIZED_WITH_TRAINING,1.961566469000636,15517.960397415161,2.2110206771421725,0.49614643545279385,0.3979425417137122,1000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-07-26 18:28:18,BASELINE,2.0592346780429955,1900.2253355884552,1.7390100719842096,0.49614643545279385,0.40239618617488393,5000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-07-26 18:28:18,INITIALIZED_NO_TRAINING,1.851740639421602,65642.69842746735,2.1904761904761902,0.49614643545279385,0.40283527788232343,5000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-07-26 18:28:18,INITIALIZED_WITH_TRAINING,1.851740639421602,724478.5539441109,2.264745670995671,0.49614643545279385,0.4020825492409986,5000
Qwen/Qwen2.5-1.5B-Instruct,results@2025-07-26 20:28:02,BASELINE,2.0592346780429955,1900.2253355884552,1.7390100719842096,0.49614643545279385,0.40239618617488393,7500
Qwen/Qwen2.5-1.5B-Instruct,results@2025-07-26 20:28:02,INITIALIZED_NO_TRAINING,1.813484874514741,155106.68037136077,2.1948215257936803,0.4956647398843931,0.4013925479864509,7500
Qwen/Qwen2.5-1.5B-Instruct,results@2025-07-26 20:28:02,INITIALIZED_WITH_TRAINING,1.813484874514741,802826.4794509888,2.1692852643023626,0.4956647398843931,0.4006398193451261,7500
